# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403638157.48508 0.902955 3.372159 1.325662 -0.383370 -0.738874 -0.251631 0.493736 0.0003569893 -0.0000034003 -0.0001449310 0.0000068866 0.0000010126 0.0000694427 0.0049547883 0.0014394017 0.0000868150 0.0045394170 0.0000891112 0.0023281427
1403638157.55175 0.837664 3.419793 1.339363 -0.377280 -0.739376 -0.251592 0.497679 0.0003572008 -0.0000023162 -0.0001419653 0.0000067299 0.0000004856 0.0000666817 0.0050459427 0.0015084454 0.0000720666 0.0046673416 0.0000888174 0.0023184793
1403638157.61842 0.775985 3.462984 1.341762 -0.369177 -0.740068 -0.251608 0.502693 0.0003597345 -0.0000005476 -0.0001387720 0.0000066778 -0.0000002155 0.0000636166 0.0051640286 0.0015801195 0.0000679340 0.0047930519 0.0000952213 0.0023328149
1403638157.68508 0.708161 3.501530 1.347257 -0.359217 -0.741533 -0.251692 0.507684 0.0003619862 0.0000021229 -0.0001352747 0.0000066144 -0.0000012092 0.0000604073 0.0052760520 0.0016445044 0.0000591662 0.0049118798 0.0001029269 0.0023384153
1403638157.75175 0.642702 3.546359 1.349808 -0.346931 -0.745160 -0.249251 0.512102 0.0003631540 0.0000052016 -0.0001328489 0.0000065707 -0.0000022906 0.0000582360 0.0053738823 0.0017106866 0.0000518317 0.0050452322 0.0001089859 0.0023338570
1403638157.81842 0.572012 3.589005 1.361805 -0.335628 -0.749260 -0.243472 0.516415 0.0003638653 0.0000060064 -0.0001316147 0.0000065348 -0.0000025332 0.0000571211 0.0055054202 0.0017792907 0.0000421190 0.0051857444 0.0001156005 0.0023380249
1403638157.88508 0.500916 3.631181 1.373528 -0.323879 -0.753403 -0.234967 0.521801 0.0003642303 0.0000051634 -0.0001306570 0.0000064279 -0.0000021556 0.0000562379 0.0056265577 0.0018511271 0.0000358962 0.0053371197 0.0001253398 0.0023409034
1403638157.95175 0.431936 3.670073 1.385144 -0.313614 -0.757358 -0.226338 0.526143 0.0003638400 0.0000039303 -0.0001298683 0.0000062428 -0.0000016502 0.0000554859 0.0057383561 0.0019236165 0.0000254608 0.0054906386 0.0001348382 0.0023257357
1403638158.01842 0.363537 3.702412 1.389438 -0.305847 -0.761160 -0.218386 0.528583 0.0003624909 0.0000026669 -0.0001305923 0.0000061625 -0.0000011444 0.0000560866 0.0058606932 0.0019873870 0.0000137178 0.0056450771 0.0001443406 0.0023318627
1403638158.08508 0.290692 3.743368 1.402219 -0.300839 -0.764272 -0.208541 0.530937 0.0003615404 -0.0000008366 -0.0001314336 0.0000061037 0.0000001670 0.0000567827 0.0059892724 0.0020432215 0.0000043513 0.0058047888 0.0001492456 0.0023462783
1403638158.15175 0.230572 3.784022 1.397170 -0.296904 -0.765932 -0.199467 0.534236 0.0003601026 -0.0000044793 -0.0001316181 0.0000060357 0.0000015810 0.0000568254 0.0061210077 0.0021138673 -0.0000057625 0.0059711622 0.0001592034 0.0023135488
1403638158.21842 0.157547 3.827959 1.401816 -0.293493 -0.767418 -0.193005 0.536359 0.0003595475 -0.0000073479 -0.0001313955 0.0000060552 0.0000026821 0.0000566052 0.0062598602 0.0021714905 -0.0000136621 0.0061131042 0.0001631646 0.0023137802
1403638158.28508 0.084097 3.870736 1.410407 -0.290272 -0.768599 -0.191052 0.537119 0.0003588228 -0.0000070152 -0.0001312288 0.0000059369 0.0000025231 0.0000564505 0.0064007826 0.0022516883 -0.0000196785 0.0062877202 0.0001652937 0.0023158128
1403638158.35175 0.036007 3.901149 1.412338 -0.286314 -0.769961 -0.191271 0.537215 0.0003567451 -0.0000052716 -0.0001312870 0.0000056070 0.0000018013 0.0000566260 0.0065021173 0.0023435764 -0.0000183771 0.0064617208 0.0001642963 0.0023075779
1403638158.41842 -0.020712 3.937652 1.412169 -0.282857 -0.770851 -0.192941 0.537173 0.0003561489 -0.0000028552 -0.0001303075 0.0000053510 0.0000007820 0.0000558691 0.0065730104 0.0023972780 -0.0000163783 0.0065803298 0.0001642147 0.0023115234
1403638158.48508 -0.082236 3.975352 1.402989 -0.280371 -0.770952 -0.196572 0.537014 0.0003564122 0.0000003430 -0.0001295199 0.0000052586 -0.0000004063 0.0000551271 0.0067026347 0.0024536667 -0.0000141621 0.0067263331 0.0001615376 0.0023064468
1403638158.55175 -0.143210 4.011765 1.399460 -0.277676 -0.771225 -0.199556 0.536922 0.0003558985 0.0000030001 -0.0001285882 0.0000050464 -0.0000014458 0.0000543461 0.0067763681 0.0025441139 0.0000034326 0.0068715078 0.0001514697 0.0022988466
1403638158.61841 -0.208224 4.057939 1.403512 -0.276341 -0.771054 -0.201355 0.537185 0.0003562777 0.0000048688 -0.0001274976 0.0000049787 -0.0000021350 0.0000533638 0.0068890426 0.0026205565 0.0000076859 0.0070305844 0.0001447540 0.0022920596
1403638158.68508 -0.267585 4.091882 1.400132 -0.277275 -0.770205 -0.201209 0.537975 0.0003563606 0.0000040628 -0.0001270797 0.0000048952 -0.0000018602 0.0000529685 0.0070238609 0.0027129394 0.0000188458 0.0072071536 0.0001406499 0.0022937700
1403638158.75175 -0.331814 4.131685 1.399976 -0.279622 -0.769770 -0.198731 0.538304 0.0003550437 0.0000014795 -0.0001272615 0.0000046395 -0.0000009646 0.0000531164 0.0070892000 0.0028035332 0.0000390285 0.0073546616 0.0001290354 0.0022838015
1403638158.81841 -0.381580 4.164381 1.391603 -0.283550 -0.770174 -0.194685 0.537149 0.0003527667 -0.0000019440 -0.0001288267 0.0000045694 0.0000002407 0.0000544584 0.0071905771 0.0028946226 0.0000439059 0.0075320175 0.0001259267 0.0022836129
1403638158.88508 -0.445351 4.201661 1.391353 -0.287431 -0.771387 -0.191130 0.534617 0.0003503486 -0.0000048513 -0.0001312950 0.0000045846 0.0000013487 0.0000565555 0.0073108411 0.0029563717 0.0000442945 0.0076747655 0.0001249780 0.0022869962
1403638158.95175 -0.512073 4.235985 1.392260 -0.290704 -0.772270 -0.188606 0.532463 0.0003480268 -0.0000071058 -0.0001333382 0.0000045761 0.0000022449 0.0000583521 0.0074170919 0.0030560891 0.0000675607 0.0078514923 0.0001104814 0.0022768646
1403638159.01841 -0.571801 4.268601 1.397523 -0.293985 -0.774540 -0.186610 0.528051 0.0003443639 -0.0000078862 -0.0001366779 0.0000045493 0.0000026374 0.0000614544 0.0075320640 0.0031481809 0.0000712262 0.0080419013 0.0001084323 0.0022757689
1403638159.08508 -0.638910 4.307470 1.409547 -0.297282 -0.778182 -0.184066 0.521705 0.0003396802 -0.0000085212 -0.0001409689 0.0000045506 0.0000030087 0.0000657103 0.0076598695 0.0032251506 0.0000743714 0.0082197633 0.0001073646 0.0022779396
1403638159.15175 -0.685264 4.337837 1.415670 -0.300188 -0.782985 -0.180395 0.514082 0.0003328031 -0.0000092275 -0.0001464099 0.0000044335 0.0000034619 0.0000716132 0.0077424246 0.0033511275 0.0000767958 0.0084102489 0.0001058404 0.0022699978
1403638159.21841 -0.755293 4.378564 1.418405 -0.302165 -0.786752 -0.179369 0.507489 0.0003276822 -0.0000090566 -0.0001500787 0.0000043057 0.0000034696 0.0000759335 0.0078142276 0.0034349226 0.0000755819 0.0085470901 0.0001048327 0.0022683520
1403638159.28508 -0.824332 4.418625 1.420825 -0.303064 -0.784714 -0.180694 0.509633 0.0003293639 -0.0000091996 -0.0001485539 0.0000043329 0.0000034605 0.0000740847 0.0079798342 0.0035380307 0.0000753612 0.0087800344 0.0001063993 0.0022722807
1403638159.35175 -0.896700 4.471756 1.421314 -0.302239 -0.778032 -0.182662 0.519569 0.0003359029 -0.0000109582 -0.0001420664 0.0000043283 0.0000039087 0.0000669165 0.0080879572 0.0036696605 0.0000817378 0.0089928489 0.0001049311 0.0022667891
1403638159.41841 -0.967886 4.522971 1.429717 -0.300088 -0.769345 -0.186261 0.532318 0.0003444033 -0.0000121650 -0.0001329629 0.0000043462 0.0000039523 0.0000578913 0.0082550727 0.0038143645 0.0000821411 0.0092238246 0.0001069129 0.0022558186
1403638159.48508 -1.034765 4.574833 1.437820 -0.298853 -0.758947 -0.188650 0.546898 0.0003529929 -0.0000150442 -0.0001225327 0.0000045484 0.0000044787 0.0000488854 0.0084378023 0.0039435173 0.0000819415 0.0094580470 0.0001113448 0.0022509861
1403638159.55175 -1.106463 4.624733 1.450861 -0.300494 -0.748682 -0.187036 0.560532 0.0003593221 -0.0000211418 -0.0001126930 0.0000050774 0.0000058995 0.0000414977 0.0085983513 0.0040735681 0.0000823862 0.0096757991 0.0001130767 0.0022435274
1403638159.61841 -1.173162 4.676334 1.462519 -0.303524 -0.740453 -0.182143 0.571337 0.0003626927 -0.0000289568 -0.0001054920 0.0000061478 0.0000077155 0.0000367090 0.0087837119 0.0041958716 0.0000810827 0.0099117284 0.0001197160 0.0022335555
1403638159.68508 -1.234684 4.728046 1.481312 -0.305893 -0.734712 -0.177130 0.579010 0.0003646253 -0.0000352290 -0.0001004550 0.0000072515 0.0000090236 0.0000336049 0.0089849685 0.0043136224 0.0000767594 0.0101420418 0.0001246531 0.0022345083
1403638159.75175 -1.285990 4.779585 1.495813 -0.307198 -0.732020 -0.174292 0.582579 0.0003651111 -0.0000385751 -0.0000982639 0.0000079403 0.0000096942 0.0000323184 0.0091792832 0.0044318567 0.0000703537 0.0103483989 0.0001321895 0.0022278844
1403638159.81841 -1.327848 4.830428 1.512622 -0.304231 -0.731687 -0.177742 0.583512 0.0003665909 -0.0000358224 -0.0000968124 0.0000073888 0.0000087380 0.0000314006 0.0093642160 0.0045332867 0.0000640888 0.0105206438 0.0001387759 0.0022298293
1403638159.88508 -1.372373 4.882379 1.538656 -0.299093 -0.733954 -0.185253 0.580979 0.0003678974 -0.0000285003 -0.0000970107 0.0000061052 0.0000067385 0.0000313999 0.0095369339 0.0046344903 0.0000609683 0.0106579469 0.0001432496 0.0022319696
1403638159.95175 -1.413344 4.938688 1.564196 -0.292707 -0.737403 -0.193471 0.577173 0.0003683466 -0.0000198887 -0.0000980265 0.0000049502 0.0000044451 0.0000318742 0.0096851742 0.0047452189 0.0000527761 0.0108094210 0.0001514550 0.0022285407
1403638160.01841 -1.432790 4.983678 1.600462 -0.287916 -0.740684 -0.198694 0.573596 0.0003677527 -0.0000135937 -0.0000996002 0.0000043162 0.0000027606 0.0000327496 0.0098026977 0.0048907725 0.0000543855 0.0109294949 0.0001523666 0.0022268305
1403638160.08508 -1.465275 5.033205 1.634984 -0.285527 -0.744263 -0.200839 0.569395 0.0003662246 -0.0000099698 -0.0001022677 0.0000040144 0.0000018180 0.0000343313 0.0098360501 0.0050152628 0.0000565260 0.0109650382 0.0001526549 0.0022250705
1403638160.15175 -1.480519 5.073265 1.672215 -0.285448 -0.749324 -0.200401 0.562914 0.0003627781 -0.0000080350 -0.0001073684 0.0000038431 0.0000013778 0.0000375682 0.0098593225 0.0051897744 0.0000576068 0.0110353505 0.0001551337 0.0022187044
1403638160.21841 -1.522421 5.125115 1.716004 -0.286597 -0.757046 -0.197544 0.552920 0.0003571393 -0.0000068551 -0.0001154416 0.0000037116 0.0000011781 0.0000431541 0.0098387819 0.0053362709 0.0000549971 0.0110453935 0.0001580281 0.0022121311
1403638160.28508 -1.529937 5.163818 1.757249 -0.287770 -0.764348 -0.193968 0.543450 0.0003507620 -0.0000063465 -0.0001232034 0.0000036360 0.0000011713 0.0000491844 0.0098339998 0.0055678763 0.0000606932 0.0111284752 0.0001611776 0.0022059098
1403638160.35175 -1.533552 5.195786 1.802230 -0.288591 -0.769980 -0.191717 0.535809 0.0003458197 -0.0000054054 -0.0001290397 0.0000035888 0.0000009367 0.0000541171 0.0098876917 0.0056679243 0.0000557268 0.0111314260 0.0001668404 0.0022018546
1403638160.41841 -1.555228 5.244329 1.850596 -0.288847 -0.773525 -0.190135 0.531107 0.0003425672 -0.0000048632 -0.0001322760 0.0000035545 0.0000007966 0.0000570474 0.0099057363 0.0057672636 0.0000519145 0.0111118947 0.0001740381 0.0021905723
1403638160.48508 -1.574377 5.287080 1.899207 -0.289612 -0.775058 -0.188938 0.528879 0.0003410597 -0.0000051350 -0.0001339814 0.0000035869 0.0000009203 0.0000586266 0.0100550648 0.0058725504 0.0000432625 0.0112018433 0.0001841210 0.0021964011
1403638160.55175 -1.598799 5.332027 1.949339 -0.290221 -0.775940 -0.188510 0.527403 0.0003399897 -0.0000051126 -0.0001348606 0.0000035537 0.0000009181 0.0000594748 0.0100385838 0.0060765985 0.0000477472 0.0111993332 0.0001853447 0.0021889531
1403638160.61841 -1.623793 5.382995 1.998490 -0.290970 -0.776482 -0.187773 0.526454 0.0003392691 -0.0000055330 -0.0001356555 0.0000035858 0.0000010876 0.0000602206 0.0101525745 0.0062017830 0.0000355015 0.0112902295 0.0001978947 0.0021905165
1403638160.68508 -1.659342 5.438662 2.039986 -0.290950 -0.776280 -0.187872 0.526728 0.0003394005 -0.0000056029 -0.0001353873 0.0000035981 0.0000010940 0.0000599636 0.0102856594 0.0063491194 0.0000243886 0.0113741588 0.0002109917 0.0021911141
1403638160.75175 -1.680379 5.483121 2.081286 -0.292043 -0.773370 -0.186461 0.530889 0.0003413819 -0.0000081116 -0.0001330774 0.0000036773 0.0000020317 0.0000577752 0.0104353149 0.0065137665 0.0000148914 0.0115079259 0.0002225335 0.0021878626
1403638160.81841 -1.704464 5.531227 2.119779 -0.295194 -0.767333 -0.186128 0.537975 0.0003450830 -0.0000119046 -0.0001283032 0.0000038616 0.0000033065 0.0000535045 0.0105382485 0.0066452004 0.0000098729 0.0115780418 0.0002305537 0.0021863050
1403638160.88508 -1.732586 5.585716 2.163158 -0.300128 -0.758884 -0.187942 0.546531 0.0003501241 -0.0000159711 -0.0001219661 0.0000041699 0.0000044616 0.0000481403 0.0106687547 0.0067792634 0.0000088070 0.0116598037 0.0002346374 0.0021844639
1403638160.95175 -1.752408 5.634262 2.200033 -0.306507 -0.750434 -0.193048 0.552842 0.0003541349 -0.0000184163 -0.0001161944 0.0000044047 0.0000049317 0.0000436384 0.0108314852 0.0069218169 0.0000018928 0.0117579769 0.0002458731 0.0021809218
1403638161.01841 -1.773969 5.689781 2.232372 -0.313983 -0.743544 -0.199997 0.555481 0.0003568109 -0.0000194120 -0.0001124731 0.0000045446 0.0000049819 0.0000408546 0.0109862173 0.0070335166 -0.0000060099 0.0118296105 0.0002560213 0.0021797765
1403638161.08508 -1.792485 5.738054 2.263815 -0.323372 -0.737754 -0.207714 0.554982 0.0003579751 -0.0000198165 -0.0001107350 0.0000046498 0.0000049531 0.0000395625 0.0111753922 0.0071521241 -0.0000167132 0.0119125996 0.0002692100 0.0021785882
1403638161.15175 -1.806551 5.783512 2.293934 -0.333245 -0.733896 -0.216874 0.550735 0.0003577763 -0.0000185303 -0.0001112718 0.0000045884 0.0000045432 0.0000398233 0.0113343666 0.0072492381 -0.0000257389 0.0119816324 0.0002801890 0.0021764224
1403638161.21841 -1.818146 5.834540 2.333114 -0.345255 -0.730427 -0.226062 0.544217 0.0003565198 -0.0000171277 -0.0001132154 0.0000045230 0.0000041888 0.0000410709 0.0114819131 0.0073404201 -0.0000301350 0.0120338511 0.0002887400 0.0021703106
1403638161.28508 -1.826761 5.883061 2.360860 -0.358527 -0.726392 -0.235503 0.536984 0.0003548808 -0.0000162602 -0.0001156784 0.0000045570 0.0000040091 0.0000427398 0.0116623497 0.0074407512 -0.0000395284 0.0120855799 0.0003009533 0.0021730188
1403638161.35175 -1.830901 5.934134 2.393395 -0.372002 -0.722500 -0.244052 0.529194 0.0003527578 -0.0000155300 -0.0001185216 0.0000045373 0.0000039118 0.0000447460 0.0118110544 0.0075389387 -0.0000338374 0.0121103799 0.0003015566 0.0021612533
1403638161.41841 -1.837604 5.986310 2.427111 -0.384145 -0.720890 -0.250035 0.519839 0.0003494311 -0.0000145906 -0.0001229273 0.0000045535 0.0000038066 0.0000481197 0.0119791611 0.0076306735 -0.0000376771 0.0121265595 0.0003087701 0.0021604477
1403638161.48508 -1.838444 6.028835 2.456024 -0.394168 -0.720678 -0.254907 0.510174 0.0003456282 -0.0000130524 -0.0001277239 0.0000044922 0.0000034920 0.0000520382 0.0121615809 0.0077294254 -0.0000426774 0.0121602937 0.0003168039 0.0021571820
1403638161.55175 -1.852214 6.083493 2.489972 -0.402060 -0.720106 -0.258156 0.503141 0.0003426565 -0.0000122433 -0.0001310793 0.0000044466 0.0000033723 0.0000549335 0.0122913791 0.0078150377 -0.0000365880 0.0121637087 0.0003161401 0.0021467644
1403638161.61841 -1.848908 6.124819 2.506693 -0.409040 -0.718390 -0.260694 0.498638 0.0003407470 -0.0000125732 -0.0001331754 0.0000044906 0.0000036157 0.0000568077 0.0124871551 0.0079376074 -0.0000401272 0.0122271681 0.0003251968 0.0021455029
1403638161.68508 -1.843641 6.169148 2.519030 -0.414965 -0.715869 -0.261460 0.496965 0.0003398075 -0.0000142472 -0.0001340754 0.0000046092 0.0000043519 0.0000576161 0.0126296171 0.0080108430 -0.0000424097 0.0122198397 0.0003318149 0.0021419617
1403638161.75175 -1.840407 6.207111 2.528025 -0.419668 -0.712351 -0.262585 0.497477 0.0003403286 -0.0000163367 -0.0001333414 0.0000047258 0.0000051839 0.0000568796 0.0127674945 0.0080999437 -0.0000304499 0.0121873698 0.0003251864 0.0021281073
1403638161.81841 -1.828097 6.250241 2.535634 -0.422462 -0.708432 -0.265507 0.499156 0.0003420190 -0.0000170063 -0.0001314896 0.0000047445 0.0000053701 0.0000550838 0.0128874744 0.0081786297 -0.0000235093 0.0121624528 0.0003200783 0.0021168435
1403638161.88508 -1.832715 6.308197 2.550739 -0.425922 -0.703513 -0.270249 0.500624 0.0003445349 -0.0000171373 -0.0001287896 0.0000046872 0.0000052825 0.0000525685 0.0130143696 0.0082634534 -0.0000086346 0.0120894695 0.0003094056 0.0021033302
1403638161.95175 -1.836599 6.365541 2.565542 -0.430167 -0.699380 -0.274961 0.500221 0.0003459132 -0.0000169617 -0.0001273655 0.0000046392 0.0000051631 0.0000512184 0.0132090655 0.0083992411 0.0000020241 0.0120890009 0.0003020310 0.0020914375
1403638162.01841 -1.850042 6.415096 2.573516 -0.434425 -0.696068 -0.279043 0.498898 0.0003463695 -0.0000170867 -0.0001267947 0.0000044981 0.0000052646 0.0000505958 0.0133810147 0.0085477943 0.0000251563 0.0120668460 0.0002807649 0.0020642743
1403638162.08508 -1.842158 6.465947 2.586536 -0.438006 -0.693863 -0.281042 0.497715 0.0003463095 -0.0000171164 -0.0001269081 0.0000044861 0.0000053052 0.0000506401 0.0135644404 0.0086714754 0.0000240383 0.0121160787 0.0002859416 0.0020628636
1403638162.15174 -1.835834 6.521481 2.603163 -0.441833 -0.692845 -0.280803 0.495882 0.0003449882 -0.0000184181 -0.0001281650 0.0000044001 0.0000059434 0.0000516464 0.0137184610 0.0087750695 0.0000420895 0.0120548741 0.0002699386 0.0020398416
1403638162.21841 -1.829707 6.580675 2.624829 -0.446133 -0.692129 -0.278930 0.494086 0.0003433223 -0.0000203167 -0.0001298658 0.0000045603 0.0000068279 0.0000531111 0.0139259804 0.0088686973 0.0000421845 0.0120269813 0.0002718815 0.0020337072
1403638162.28508 -1.816084 6.633253 2.640994 -0.449331 -0.691547 -0.277533 0.492787 0.0003419820 -0.0000219266 -0.0001312267 0.0000047104 0.0000075872 0.0000543252 0.0141607339 0.0089665987 0.0000389279 0.0120089887 0.0002798212 0.0020312335
1403638162.35174 -1.806334 6.689884 2.653547 -0.451951 -0.690031 -0.275718 0.493536 0.0003414340 -0.0000244470 -0.0001314443 0.0000049413 0.0000086531 0.0000544996 0.0143624107 0.0090395586 0.0000388557 0.0119595394 0.0002840563 0.0020219790
1403638162.41841 -1.797360 6.749965 2.669605 -0.453251 -0.688009 -0.275416 0.495331 0.0003424130 -0.0000259663 -0.0001302489 0.0000051010 0.0000091530 0.0000533930 0.0145918786 0.0091240159 0.0000353111 0.0119288334 0.0002924378 0.0020204020
1403638162.48508 -1.784831 6.808973 2.683737 -0.453002 -0.686744 -0.276988 0.496437 0.0003436013 -0.0000257641 -0.0001290668 0.0000049733 0.0000089864 0.0000522540 0.0148328636 0.0092166919 0.0000314286 0.0119007816 0.0003000107 0.0020164376
1403638162.55174 -1.762873 6.865848 2.693650 -0.451621 -0.687093 -0.279366 0.495879 0.0003442611 -0.0000238852 -0.0001287273 0.0000045402 0.0000082915 0.0000517919 0.0150599308 0.0092992065 0.0000295284 0.0118602660 0.0003060633 0.0020073324
1403638162.61841 -1.752241 6.928088 2.713439 -0.449778 -0.688597 -0.282062 0.493938 0.0003447499 -0.0000208458 -0.0001288028 0.0000040469 0.0000071927 0.0000517116 0.0152922088 0.0093568232 0.0000269088 0.0117886763 0.0003136133 0.0020025160
1403638162.68508 -1.736154 6.992115 2.732481 -0.447396 -0.690624 -0.284595 0.491813 0.0003446553 -0.0000177284 -0.0001294555 0.0000035924 0.0000060988 0.0000521328 0.0155435379 0.0094513513 0.0000258180 0.0117620047 0.0003204013 0.0019970643
1403638162.75174 -1.716593 7.054840 2.753236 -0.446470 -0.692472 -0.285106 0.489757 0.0003439581 -0.0000160311 -0.0001305603 0.0000033694 0.0000055541 0.0000530076 0.0158091944 0.0095347984 0.0000231142 0.0117177256 0.0003291957 0.0019945135
1403638162.81841 -1.706544 7.116489 2.770753 -0.448662 -0.692045 -0.284463 0.488730 0.0003429754 -0.0000172547 -0.0001315343 0.0000033812 0.0000061455 0.0000538038 0.0160680489 0.0096078193 0.0000192099 0.0116607835 0.0003374417 0.0019888952
1403638162.88508 -1.674213 7.180681 2.796471 -0.452322 -0.688879 -0.283891 0.490160 0.0003432923 -0.0000196310 -0.0001308901 0.0000035816 0.0000070510 0.0000532070 0.0163314822 0.0096943825 0.0000172298 0.0116394839 0.0003473048 0.0019893076
1403638162.95174 -1.650737 7.243918 2.827824 -0.455328 -0.683518 -0.284667 0.494413 0.0003456126 -0.0000230674 -0.0001277406 0.0000038733 0.0000081369 0.0000503896 0.0165957228 0.0097377561 0.0000137087 0.0115346354 0.0003572562 0.0019836347
1403638163.01841 -1.619776 7.306987 2.862302 -0.456166 -0.677479 -0.288392 0.499765 0.0003495778 -0.0000244834 -0.0001229444 0.0000040259 0.0000082402 0.0000463402 0.0168784160 0.0097976875 0.0000103113 0.0114649456 0.0003675666 0.0019846320
1403638163.08508 -1.586030 7.366398 2.891194 -0.458041 -0.671335 -0.292323 0.504039 0.0003527737 -0.0000262752 -0.0001187613 0.0000042569 0.0000084861 0.0000430360 0.0171670837 0.0098384250 0.0000075914 0.0113704060 0.0003779054 0.0019874664
1403638163.15174 -1.556950 7.427941 2.911864 -0.461400 -0.667558 -0.296364 0.503631 0.0003538819 -0.0000263059 -0.0001174628 0.0000042124 0.0000083989 0.0000419810 0.0174308849 0.0098624791 0.0000040562 0.0112629734 0.0003890813 0.0019869223
1403638163.21841 -1.532214 7.493440 2.925021 -0.465656 -0.665643 -0.301787 0.499007 0.0003537556 -0.0000240570 -0.0001183643 0.0000038822 0.0000077209 0.0000425912 0.0177125618 0.0098988453 0.0000029520 0.0111762876 0.0003987756 0.0019902037
1403638163.28508 -1.498948 7.559707 2.934506 -0.470584 -0.663490 -0.308569 0.493069 0.0003533893 -0.0000208666 -0.0001196344 0.0000034670 0.0000067301 0.0000434633 0.0180126908 0.0099534452 0.0000017819 0.0111082619 0.0004085915 0.0019933611
