# timestamp(s) tx ty tz qx qy qz qw
1520530314.44801 1.040022 -0.246416 1.263941 0.024395 0.011170 0.029934 0.999192 
1520530314.49801 1.061378 -0.252106 1.268137 0.026515 0.008705 0.034003 0.999032 
1520530314.54801 1.084513 -0.258610 1.274334 0.031740 0.008959 0.041900 0.998577 
1520530314.59801 1.109968 -0.267915 1.284948 0.035603 0.008568 0.048398 0.998157 
1520530314.64801 1.136248 -0.278227 1.299955 0.039125 0.010506 0.055974 0.997610 
1520530314.69801 1.163296 -0.289413 1.319577 0.039134 0.008228 0.063182 0.997201 
1520530314.74801 1.189618 -0.299584 1.341483 0.038830 0.004570 0.072293 0.996617 
1520530314.79801 1.214435 -0.308524 1.365002 0.039523 0.000889 0.081069 0.995924 
1520530314.84801 1.237465 -0.317151 1.390143 0.033334 -0.002650 0.089947 0.995385 
1520530314.89801 1.257933 -0.325573 1.416745 0.020838 -0.006620 0.096149 0.995127 
1520530314.94801 1.275578 -0.331987 1.444062 0.008592 -0.011197 0.101526 0.994733 
1520530314.99801 1.291084 -0.337836 1.472565 -0.004688 -0.019364 0.105786 0.994189 
1520530315.04801 1.303887 -0.342458 1.500082 -0.013114 -0.025501 0.109978 0.993520 
1520530315.09801 1.313842 -0.346968 1.524042 -0.020299 -0.026963 0.110881 0.993260 
1520530315.14801 1.321725 -0.350599 1.542370 -0.023650 -0.027314 0.111984 0.993053 
1520530315.19801 1.327633 -0.353689 1.552452 -0.025365 -0.028210 0.114401 0.992710 
1520530315.24801 1.330951 -0.356604 1.553514 -0.029047 -0.029024 0.114633 0.992559 
1520530315.29801 1.332036 -0.359264 1.546492 -0.034287 -0.030121 0.114179 0.992411 
1520530315.34801 1.329814 -0.360726 1.531118 -0.034896 -0.029813 0.112517 0.992589 
1520530315.39801 1.324327 -0.361170 1.508567 -0.030789 -0.027538 0.110515 0.993016 
1520530315.44801 1.316226 -0.360650 1.480531 -0.018573 -0.027303 0.110638 0.993312 
1520530315.49801 1.304848 -0.359246 1.447651 -0.005064 -0.027229 0.112150 0.993305 
1520530315.54801 1.290046 -0.356546 1.411918 0.012066 -0.026230 0.114367 0.993019 
1520530315.59801 1.271100 -0.352607 1.373633 0.029242 -0.024617 0.116049 0.992508 
1520530315.64801 1.248090 -0.347188 1.334339 0.045583 -0.024286 0.115948 0.991911 
1520530315.69801 1.220700 -0.339464 1.295403 0.060303 -0.022825 0.114912 0.991281 
1520530315.74801 1.188157 -0.329095 1.257042 0.078873 -0.018167 0.112078 0.990398 
1520530315.79801 1.152143 -0.318813 1.222681 0.086986 -0.014135 0.113010 0.989678 
1520530315.84801 1.112624 -0.307193 1.190825 0.101847 -0.006428 0.111796 0.988477 
1520530315.89801 1.071346 -0.297853 1.165584 0.112754 -0.001887 0.105045 0.988053 
1520530315.94801 1.028272 -0.290103 1.148650 0.128464 0.002682 0.095750 0.987077 
1520530315.99801 0.985286 -0.286167 1.142626 0.138341 0.005503 0.090652 0.986212 
1520530316.04801 0.942668 -0.284605 1.146719 0.142720 0.006970 0.088877 0.985740 
1520530316.09801 0.900997 -0.286919 1.160764 0.143801 0.005942 0.085538 0.985885 
1520530316.14801 0.860617 -0.292037 1.183073 0.138186 0.002094 0.085879 0.986674 
1520530316.19801 0.821293 -0.298935 1.212012 0.126095 -0.001798 0.084809 0.988385 
1520530316.24801 0.782282 -0.307033 1.244919 0.117272 0.000001 0.078228 0.990014 
1520530316.29801 0.744289 -0.315718 1.281458 0.104678 0.003198 0.072723 0.991839 
1520530316.34801 0.707141 -0.324521 1.320024 0.092187 0.004675 0.065576 0.993569 
1520530316.39801 0.671541 -0.333253 1.358591 0.081947 0.005268 0.059169 0.994865 
1520530316.44801 0.636758 -0.342026 1.396367 0.071116 0.006717 0.054039 0.995981 
1520530316.49801 0.602697 -0.349523 1.431846 0.062026 0.006417 0.049602 0.996821 
1520530316.54801 0.569128 -0.357004 1.465252 0.049837 0.008247 0.047886 0.997575 
1520530316.59801 0.535980 -0.364240 1.495385 0.038854 0.008342 0.049033 0.998006 
1520530316.64801 0.502884 -0.371022 1.522285 0.030740 0.007640 0.050770 0.998208 
1520530316.69801 0.468632 -0.379085 1.544650 0.024689 0.008369 0.048029 0.998506 
1520530316.74801 0.433929 -0.388459 1.562308 0.018850 0.009581 0.043096 0.998847 
1520530316.79801 0.398549 -0.398852 1.574402 0.014394 0.011563 0.036191 0.999174 
1520530316.84801 0.363484 -0.410431 1.580179 0.011234 0.015048 0.030062 0.999372 
1520530316.89801 0.329033 -0.422549 1.580501 0.006604 0.016913 0.024925 0.999524 
1520530316.94801 0.295129 -0.435532 1.575248 0.004417 0.015629 0.018673 0.999694 
1520530316.99801 0.261648 -0.446929 1.564685 0.004918 0.012403 0.014656 0.999804 
1520530317.04801 0.229244 -0.456747 1.549496 0.009789 0.009033 0.009622 0.999865 
1520530317.09801 0.197121 -0.465135 1.530095 0.015078 0.007020 0.005473 0.999847 
1520530317.14801 0.166043 -0.472379 1.506883 0.021890 0.006308 0.004591 0.999730 
1520530317.19801 0.135299 -0.478593 1.480271 0.029068 0.005006 0.001705 0.999563 
1520530317.24801 0.104491 -0.483135 1.450817 0.036837 0.000552 0.000558 0.999321 
1520530317.29801 0.073397 -0.485799 1.419323 0.045802 -0.005960 -0.003644 0.998926 
1520530317.34801 0.041080 -0.487292 1.386665 0.052818 -0.016338 -0.007171 0.998445 
1520530317.39801 0.007756 -0.487513 1.353834 0.056260 -0.027035 -0.008310 0.998015 
1520530317.44801 -0.026954 -0.485016 1.320608 0.058912 -0.040393 -0.009795 0.997398 
1520530317.49801 -0.063617 -0.480980 1.288761 0.061803 -0.048533 -0.011774 0.996838 
1520530317.54801 -0.102081 -0.475194 1.258618 0.064995 -0.052823 -0.015160 0.996371 
1520530317.59801 -0.142523 -0.468206 1.230219 0.067578 -0.049991 -0.018621 0.996287 
1520530317.64801 -0.184458 -0.459664 1.203383 0.072292 -0.042600 -0.023265 0.996202 
1520530317.69801 -0.227476 -0.450079 1.178487 0.078865 -0.031870 -0.029480 0.995940 
1520530317.74801 -0.270627 -0.439033 1.156179 0.088409 -0.023382 -0.033844 0.995234 
1520530317.79801 -0.314426 -0.427177 1.136780 0.100230 -0.014560 -0.037402 0.994154 
1520530317.84801 -0.358700 -0.415639 1.120554 0.113406 -0.009241 -0.042725 0.992587 
1520530317.89801 -0.403508 -0.404929 1.108152 0.125283 -0.007316 -0.050449 0.990811 
1520530317.94801 -0.448535 -0.395513 1.100612 0.136346 -0.003981 -0.060979 0.988775 
1520530317.99801 -0.493344 -0.388387 1.099159 0.142253 -0.001212 -0.075821 0.986921 
1520530318.04801 -0.536340 -0.383095 1.103355 0.145095 -0.000020 -0.091009 0.985223 
1520530318.09801 -0.576341 -0.379942 1.113487 0.142075 0.004038 -0.106045 0.984151 
1520530318.14801 -0.611898 -0.379033 1.128493 0.134052 0.010160 -0.120655 0.983549 
1520530318.19801 -0.642106 -0.380606 1.149107 0.120531 0.016558 -0.131433 0.983831 
1520530318.24801 -0.666430 -0.383890 1.174181 0.107532 0.020848 -0.141411 0.983872 
1520530318.29801 -0.685062 -0.388573 1.203147 0.093945 0.027472 -0.149448 0.983913 
1520530318.34801 -0.698332 -0.394670 1.234572 0.081455 0.034620 -0.155888 0.983801 
1520530318.39801 -0.706086 -0.401654 1.267979 0.069854 0.039772 -0.160426 0.983769 
1520530318.44801 -0.708111 -0.408444 1.302804 0.059394 0.044053 -0.161466 0.984104 
1520530318.49801 -0.704381 -0.415404 1.338561 0.049592 0.048184 -0.160266 0.984649 
1520530318.54801 -0.694950 -0.421610 1.374183 0.040902 0.052107 -0.159945 0.984901 
1520530318.59801 -0.679550 -0.426477 1.409247 0.031357 0.055482 -0.157099 0.985524 
1520530318.64801 -0.658938 -0.429845 1.442021 0.021378 0.059801 -0.154276 0.985985 
1520530318.69801 -0.633284 -0.431444 1.472299 0.011405 0.064050 -0.152462 0.986166 
1520530318.74801 -0.602753 -0.431695 1.498403 0.001812 0.066879 -0.146877 0.986890 
1520530318.79801 -0.568164 -0.430564 1.519105 -0.007315 0.066971 -0.141646 0.987622 
1520530318.84801 -0.530082 -0.428167 1.533298 -0.015372 0.063221 -0.135760 0.988603 
1520530318.89801 -0.488696 -0.425206 1.539266 -0.021509 0.053966 -0.126951 0.990206 
1520530318.94801 -0.444329 -0.421065 1.536424 -0.023481 0.044634 -0.114398 0.992154 
1520530318.99801 -0.398397 -0.415377 1.525309 -0.021090 0.037608 -0.104787 0.993560 
1520530319.04801 -0.350948 -0.408663 1.506941 -0.016021 0.035394 -0.094395 0.994776 
1520530319.09801 -0.302700 -0.400610 1.481964 -0.009048 0.032256 -0.084809 0.995834 
1520530319.14801 -0.253921 -0.391817 1.452705 0.000039 0.027740 -0.073576 0.996904 
1520530319.19801 -0.205401 -0.381504 1.419559 0.013085 0.023056 -0.063146 0.997652 
1520530319.24801 -0.156384 -0.369932 1.383928 0.029008 0.016714 -0.053367 0.998014 
1520530319.29801 -0.108128 -0.357466 1.346536 0.044509 0.012554 -0.044753 0.997927 
1520530319.34801 -0.060287 -0.344649 1.308898 0.058803 0.011088 -0.036774 0.997530 
1520530319.39801 -0.013278 -0.331927 1.271478 0.067753 0.011243 -0.030275 0.997179 
1520530319.44801 0.033261 -0.319046 1.234349 0.076470 0.012367 -0.023146 0.996726 
1520530319.49801 0.079038 -0.306496 1.198661 0.087654 0.014141 -0.014072 0.995951 
1520530319.54801 0.124483 -0.293850 1.165592 0.099317 0.018000 0.000836 0.994893 
1520530319.59801 0.169729 -0.282885 1.137620 0.113533 0.026076 0.015441 0.993072 
1520530319.64801 0.214801 -0.274064 1.114971 0.124849 0.036097 0.032899 0.990973 
1520530319.69801 0.260887 -0.268964 1.097968 0.133438 0.047523 0.052915 0.988502 
1520530319.74801 0.308613 -0.267459 1.087499 0.139839 0.056656 0.076532 0.985585 
1520530319.79801 0.359038 -0.269258 1.084201 0.141220 0.060785 0.102944 0.982733 
1520530319.84801 0.412693 -0.274369 1.090263 0.137553 0.065535 0.128307 0.979960 
1520530319.89801 0.468215 -0.281955 1.105917 0.129034 0.067448 0.147789 0.978243 
1520530319.94801 0.523853 -0.291437 1.130870 0.110570 0.065196 0.166482 0.977654 
1520530319.99801 0.578544 -0.302645 1.164056 0.090563 0.058662 0.172668 0.979052 
1520530320.04801 0.630154 -0.313911 1.203137 0.071062 0.049254 0.177317 0.980348 
1520530320.09801 0.678061 -0.323774 1.246055 0.056415 0.036803 0.182104 0.980969 
1520530320.14801 0.721478 -0.332751 1.290928 0.034616 0.030895 0.192363 0.980226 
1520530320.19801 0.760833 -0.340167 1.337682 0.018082 0.028480 0.200989 0.979012 
1520530320.24801 0.798045 -0.346332 1.385053 0.009499 0.023569 0.207588 0.977886 
1520530320.29801 0.832916 -0.351419 1.431200 0.004665 0.022375 0.211437 0.977124 
1520530320.34801 0.867163 -0.354607 1.473947 0.001919 0.020784 0.213243 0.976776 
1520530320.39801 0.900836 -0.355760 1.512734 -0.000834 0.021174 0.212092 0.977020 
1520530320.44801 0.935375 -0.355288 1.548115 -0.008671 0.022153 0.211368 0.977117 
1520530320.49801 0.971256 -0.353329 1.578193 -0.017687 0.020749 0.209430 0.977443 
1520530320.54801 1.008800 -0.350668 1.601400 -0.027112 0.016273 0.202614 0.978748 
1520530320.59801 1.048546 -0.348600 1.616754 -0.037861 0.010386 0.197549 0.979507 
1520530320.64801 1.090051 -0.346562 1.623792 -0.045416 0.005004 0.194105 0.979916 
1520530320.69801 1.132609 -0.345707 1.621633 -0.046864 0.000239 0.190749 0.980520 
1520530320.74801 1.174738 -0.346910 1.612051 -0.046834 -0.003917 0.183766 0.981846 
1520530320.79801 1.215943 -0.349138 1.595748 -0.042003 -0.009893 0.176596 0.983337 
1520530320.84801 1.255496 -0.351812 1.573973 -0.035258 -0.017213 0.172081 0.984301 
1520530320.89801 1.291780 -0.352829 1.547964 -0.023731 -0.024725 0.169316 0.984966 
1520530320.94801 1.323636 -0.351677 1.519075 -0.018192 -0.029725 0.164661 0.985734 
1520530320.99801 1.350470 -0.347324 1.488586 -0.018068 -0.032362 0.158212 0.986709 
1520530321.04801 1.372758 -0.339525 1.457370 -0.016027 -0.031585 0.151242 0.987862 
1520530321.09801 1.390867 -0.327745 1.425142 -0.013354 -0.029892 0.144924 0.988901 
1520530321.14801 1.406008 -0.312945 1.393416 -0.015022 -0.028372 0.142358 0.989294 
1520530321.19801 1.418420 -0.293693 1.362054 -0.012467 -0.024943 0.141011 0.989615 
1520530321.24801 1.428572 -0.269709 1.331263 -0.004602 -0.018130 0.141320 0.989787 
1520530321.29801 1.436954 -0.241939 1.302050 0.003613 -0.009416 0.141825 0.989840 
1520530321.34801 1.443979 -0.211698 1.274713 0.012207 -0.002158 0.141038 0.989927 
1520530321.39801 1.449418 -0.178573 1.249726 0.020522 0.001323 0.141824 0.989678 
1520530321.44801 1.453491 -0.142712 1.226603 0.030264 0.000899 0.141692 0.989448 
1520530321.49801 1.456308 -0.105079 1.204532 0.041446 0.000556 0.139797 0.989312 
1520530321.54801 1.457522 -0.065851 1.184038 0.053954 0.003117 0.137772 0.988988 
1520530321.59801 1.457652 -0.025786 1.166715 0.068886 0.004510 0.137320 0.988118 
1520530321.64801 1.457382 0.014726 1.155638 0.089732 0.003193 0.138572 0.986274 
1520530321.69801 1.456490 0.054360 1.153355 0.111038 0.002463 0.140684 0.983805 
1520530321.74801 1.454918 0.091259 1.160450 0.128052 0.001164 0.141211 0.981662 
1520530321.79801 1.452931 0.124176 1.175249 0.139730 -0.002879 0.141721 0.979991 
1520530321.84801 1.449970 0.152900 1.196468 0.141879 -0.007253 0.143576 0.979390 
1520530321.89801 1.445424 0.178065 1.223258 0.136347 -0.008221 0.144371 0.980050 
1520530321.94801 1.439756 0.201314 1.256585 0.121055 -0.012170 0.145504 0.981848 
1520530321.99801 1.432472 0.223223 1.293056 0.099178 -0.013642 0.146104 0.984191 
1520530322.04801 1.423644 0.244756 1.330174 0.078699 -0.014954 0.144619 0.986239 
1520530322.09801 1.412892 0.265833 1.365256 0.060382 -0.015378 0.143065 0.987750 
1520530322.14801 1.398992 0.285465 1.396728 0.041798 -0.013659 0.138240 0.989422 
1520530322.19801 1.383462 0.304697 1.423000 0.029987 -0.012882 0.133829 0.990467 
1520530322.24801 1.366001 0.321613 1.443882 0.021940 -0.010135 0.128164 0.991459 
1520530322.29801 1.345841 0.336663 1.458510 0.018167 -0.006661 0.120695 0.992501 
1520530322.34801 1.324050 0.349984 1.466608 0.016410 -0.002801 0.116567 0.993043 
1520530322.39801 1.300411 0.361557 1.467750 0.012072 0.001961 0.112160 0.993615 
1520530322.44801 1.275871 0.372137 1.462467 0.009054 0.002891 0.105917 0.994330 
1520530322.49801 1.250785 0.380961 1.450988 0.004441 -0.000557 0.101297 0.994846 
1520530322.54801 1.224219 0.388330 1.433264 0.002951 -0.005603 0.093808 0.995570 
1520530322.59801 1.195504 0.393870 1.410802 0.002737 -0.009754 0.086175 0.996229 
1520530322.64801 1.165302 0.397214 1.383877 0.005466 -0.012195 0.083853 0.996388 
1520530322.69801 1.132989 0.399254 1.353832 0.013252 -0.013217 0.080710 0.996562 
1520530322.74801 1.098842 0.399529 1.322345 0.023070 -0.013363 0.077266 0.996654 
1520530322.79801 1.062413 0.397697 1.290359 0.028452 -0.010910 0.075448 0.996684 
1520530322.84801 1.024664 0.395428 1.258923 0.036418 -0.006851 0.070039 0.996856 
1520530322.89801 0.986387 0.392055 1.228156 0.044546 -0.003873 0.064962 0.996885 
1520530322.94801 0.948058 0.387653 1.198603 0.053206 0.000666 0.061150 0.996709 
1520530322.99801 0.909848 0.382745 1.170192 0.064158 0.008682 0.058632 0.996178 
1520530323.04801 0.872332 0.377148 1.142135 0.078293 0.017369 0.056451 0.995179 
1520530323.09801 0.835696 0.369915 1.115337 0.094230 0.018789 0.055023 0.993851 
1520530323.14801 0.799155 0.360861 1.091536 0.112198 0.018791 0.051950 0.992149 
1520530323.19801 0.762513 0.349667 1.074394 0.131997 0.021790 0.050064 0.989745 
1520530323.24801 0.727203 0.334659 1.066978 0.149448 0.020634 0.047313 0.987421 
1520530323.29801 0.692599 0.315112 1.069246 0.162870 0.018427 0.041521 0.985601 
1520530323.34801 0.658496 0.289576 1.081766 0.166459 0.016206 0.035189 0.985287 
1520530323.39801 0.625503 0.258432 1.103145 0.159066 0.012293 0.027732 0.986802 
1520530323.44801 0.593521 0.222670 1.132689 0.139033 0.007905 0.022271 0.990006 
1520530323.49801 0.562493 0.184950 1.167272 0.116564 0.006752 0.018021 0.992997 
1520530323.54801 0.532041 0.145692 1.205241 0.093475 0.009947 0.015018 0.995459 
1520530323.59801 0.502183 0.105793 1.244481 0.074674 0.016427 0.013681 0.996979 
1520530323.64801 0.472778 0.067143 1.284552 0.060526 0.021569 0.013415 0.997843 
1520530323.69801 0.443148 0.031911 1.323554 0.050488 0.026267 0.011319 0.998315 
1520530323.74801 0.413264 -0.001303 1.361639 0.038611 0.029112 0.009897 0.998781 
1520530323.79801 0.382644 -0.032362 1.397291 0.028615 0.028034 0.008597 0.999160 
1520530323.84801 0.351688 -0.063007 1.430596 0.018542 0.026061 0.007414 0.999461 
1520530323.89801 0.320210 -0.093769 1.459794 0.011189 0.020982 0.006885 0.999694 
1520530323.94801 0.287893 -0.125294 1.484019 0.005564 0.016937 0.005933 0.999823 
1520530323.99801 0.254878 -0.158217 1.502876 -0.000442 0.012585 0.003568 0.999914 
1520530324.04801 0.220956 -0.192044 1.515995 -0.004914 0.009894 0.002969 0.999935 
1520530324.09801 0.187018 -0.226616 1.524468 -0.008534 0.008802 0.004510 0.999915 
1520530324.14801 0.153119 -0.260821 1.527504 -0.013146 0.010972 0.005513 0.999838 
1520530324.19801 0.119397 -0.294998 1.524964 -0.020233 0.014858 0.003450 0.999679 
1520530324.24801 0.085406 -0.329430 1.516627 -0.026989 0.019293 -0.001753 0.999448 
1520530324.29801 0.052542 -0.364114 1.502145 -0.028144 0.022689 -0.003983 0.999338 
1520530324.34801 0.020195 -0.398817 1.482291 -0.021504 0.027179 -0.005453 0.999384 
1520530324.39801 -0.011331 -0.432510 1.457788 -0.007407 0.030018 -0.007263 0.999496 
1520530324.44801 -0.042695 -0.465951 1.430223 0.009767 0.029890 -0.012029 0.999433 
1520530324.49801 -0.073916 -0.499075 1.401418 0.024088 0.026441 -0.014121 0.999260 
1520530324.54801 -0.105259 -0.531484 1.371567 0.033430 0.023308 -0.017331 0.999019 
1520530324.59801 -0.137246 -0.563522 1.341790 0.036484 0.024189 -0.019401 0.998853 
1520530324.64801 -0.169169 -0.595072 1.311497 0.038115 0.024802 -0.019854 0.998768 
1520530324.69801 -0.200625 -0.625976 1.282296 0.042138 0.022700 -0.023727 0.998572 
1520530324.74801 -0.231994 -0.654465 1.255590 0.041387 0.024334 -0.025242 0.998528 
1520530324.79801 -0.262513 -0.680430 1.232454 0.039420 0.027872 -0.030412 0.998371 
1520530324.84801 -0.292474 -0.702839 1.212743 0.034479 0.031914 -0.035927 0.998249 
1520530324.89801 -0.321839 -0.721916 1.196284 0.030209 0.031615 -0.043388 0.998101 
1520530324.94801 -0.350472 -0.736731 1.182186 0.026481 0.030382 -0.050032 0.997934 
1520530324.99801 -0.378268 -0.746793 1.169317 0.024010 0.030664 -0.053298 0.997819 
1520530325.04801 -0.404990 -0.751819 1.156793 0.019168 0.028829 -0.053874 0.997947 
1520530325.09801 -0.430615 -0.752530 1.144073 0.016997 0.027840 -0.052698 0.998078 
1520530325.14801 -0.455816 -0.748138 1.130274 0.018011 0.030729 -0.051578 0.998034 
1520530325.19801 -0.480211 -0.740888 1.117575 0.021954 0.034045 -0.046536 0.998095 
1520530325.24801 -0.504090 -0.731015 1.109455 0.030236 0.033288 -0.037595 0.998281 
1520530325.29801 -0.526929 -0.719173 1.109589 0.042945 0.030726 -0.024364 0.998308 
1520530325.34801 -0.548420 -0.706475 1.119592 0.051500 0.028801 -0.012243 0.998183 
1520530325.39801 -0.568765 -0.692934 1.138698 0.055375 0.029282 -0.003149 0.998031 
1520530325.44801 -0.587610 -0.678953 1.164141 0.052293 0.031748 0.007017 0.998102 
1520530325.49801 -0.604526 -0.663374 1.194067 0.050145 0.033528 0.013806 0.998084 
1520530325.54801 -0.619465 -0.644840 1.227310 0.046441 0.032806 0.017326 0.998232 
1520530325.59801 -0.632716 -0.623025 1.261193 0.041634 0.027962 0.016294 0.998609 
1520530325.64801 -0.644751 -0.598868 1.293745 0.036559 0.024225 0.013653 0.998945 
1520530325.69801 -0.654928 -0.571511 1.323230 0.029794 0.017600 0.011480 0.999335 
1520530325.74801 -0.663560 -0.540847 1.347986 0.020842 0.012167 0.007572 0.999680 
1520530325.79801 -0.670530 -0.507281 1.366051 0.010259 0.008922 0.006701 0.999885 
1520530325.84801 -0.676037 -0.471696 1.375378 0.008996 0.005452 0.002009 0.999943 
1520530325.89801 -0.680284 -0.435977 1.376445 0.010481 0.004286 -0.005211 0.999922 
1520530325.94801 -0.683430 -0.399578 1.369859 0.011095 0.002488 -0.012223 0.999861 
1520530325.99801 -0.684920 -0.363781 1.357069 0.014521 0.000807 -0.018525 0.999723 
1520530326.04801 -0.685290 -0.328438 1.339336 0.019502 0.001738 -0.024296 0.999513 
1520530326.09801 -0.683535 -0.292314 1.318094 0.027883 -0.000349 -0.028499 0.999205 
1520530326.14801 -0.680986 -0.255942 1.295467 0.037219 0.000978 -0.031290 0.998817 
1520530326.19801 -0.677546 -0.219698 1.271792 0.047664 0.001937 -0.034300 0.998272 
1520530326.24801 -0.674117 -0.183496 1.248584 0.058400 0.006219 -0.038067 0.997548 
1520530326.29801 -0.669816 -0.147175 1.225689 0.067821 0.005441 -0.039208 0.996912 
1520530326.34801 -0.666069 -0.110451 1.203516 0.075246 0.005737 -0.038770 0.996394 
1520530326.39801 -0.662702 -0.073207 1.181849 0.082609 0.006792 -0.040597 0.995732 
1520530326.44801 -0.659966 -0.036462 1.161006 0.088207 0.009870 -0.042275 0.995156 
1520530326.49801 -0.657591 -0.000279 1.141396 0.092541 0.013311 -0.042549 0.994710 
1520530326.54801 -0.655457 0.034207 1.124162 0.098146 0.014276 -0.044625 0.994069 
1520530326.59801 -0.652987 0.066611 1.110339 0.110263 0.013616 -0.047683 0.992665 
1520530326.64801 -0.649484 0.096073 1.102524 0.126360 0.011390 -0.054452 0.990423 
1520530326.69801 -0.645468 0.120410 1.101522 0.139367 0.014766 -0.060428 0.988285 
1520530326.74801 -0.640028 0.138887 1.109031 0.143399 0.018680 -0.064640 0.987375 
1520530326.79801 -0.632536 0.151108 1.125639 0.138476 0.020080 -0.069230 0.987739 
1520530326.84801 -0.622219 0.156133 1.151166 0.124802 0.021801 -0.070376 0.989443 
1520530326.89801 -0.608817 0.155592 1.182490 0.106177 0.026179 -0.069462 0.991573 
1520530326.94801 -0.591218 0.150554 1.218347 0.083259 0.034644 -0.068815 0.993545 
1520530326.99801 -0.568371 0.142896 1.256840 0.058708 0.047062 -0.066305 0.994958 
1520530327.04801 -0.539315 0.134093 1.296190 0.034006 0.061017 -0.061961 0.995631 
1520530327.09801 -0.503489 0.125258 1.334796 0.011229 0.074308 -0.056037 0.995596 
1520530327.14801 -0.462049 0.117088 1.370818 -0.006736 0.086177 -0.046922 0.995151 
1520530327.19801 -0.414933 0.109765 1.402512 -0.022263 0.090694 -0.035795 0.994986 
1520530327.24801 -0.363765 0.102639 1.428588 -0.032569 0.090873 -0.024872 0.995019 
1520530327.29801 -0.309622 0.096132 1.448311 -0.040006 0.083923 -0.011689 0.995600 
1520530327.34801 -0.253742 0.090940 1.458910 -0.039220 0.075040 0.006436 0.996388 
1520530327.39801 -0.197724 0.087101 1.459274 -0.030537 0.069895 0.023695 0.996805 
1520530327.44801 -0.141515 0.085365 1.449538 -0.017832 0.067236 0.042222 0.996684 
1520530327.49801 -0.084805 0.084766 1.431524 -0.007312 0.068130 0.066721 0.995416 
1520530327.54801 -0.027102 0.085086 1.407195 -0.000294 0.068640 0.095929 0.993019 
1520530327.59801 0.031919 0.086475 1.379732 0.006193 0.067942 0.128921 0.989305 
